Disease Name,Type,Category,Overview,Causes,Specialist,Treatment/ Home Remedies,,,,,,,,,,,,,,,,,,
Ischemic Heart Disease (Coronary Artery Disease),Cardiovascular,Non-communicable,"Narrowed arteries reduce blood and oxygen flow to the heart muscle, Caused mainly by plaque buildup (atherosclerosis).
","Plaque buildup (atherosclerosis) narrows heart arteries, reducing blood flow, High blood pressure damages artery walls and increases risk, High LDL cholesterol and low HDL cholesterol levels contribute to plaque formation, Smoking causes artery damage and raises heart disease risk.",Cardiologist,"Lifestyle changes: Quit smoking/alcohol, eat healthy, exercise regularly, Medications: (only after consulting a doctor)Statins, aspirin, beta blockers, calcium channel blockers, nitrates,Early medical care helps prevent heart attacks and complications.",,,,,,,,,,,,,,,,,,
Stroke (Cerebrovascular Disease),Acute cerebrovascular,Non-communicable,"Stroke occurs when blood flow to parts of the brain is interrupted by a blockage (ischemic) or bleeding (hemorrhagic), causing brain cell death and possible permanent damage.","Blocked artery (ischemic stroke), burst blood vessel (hemorrhagic stroke), transient ischemic attack (temporary block), Risk factors include high blood pressure, atherosclerosis, diabetes, smoking.",Neurologist,"Medications (clot-busters, blood thinners), rehabilitation, lifestyle changes: Quit smoking to significantly reduce stroke risk, Eat a healthy diet low in salt and saturated fats, Exercise regularly (at least 150 minutes per week), Consult a Doctor: Immediate emergency care if sudden weakness, speech difficulty, vision loss, or severe headache occur.",,,,,,,,,,,,,,,,,,
Oral Cancer,Cancer (Head & Neck / Oral cavity),Non-communicable,"Oral cancer is the uncontrolled growth of abnormal cells in the mouth, lips, tongue, or throat, Early detection improves chances of successful treatment.","Tobacco use (smoking/chewing), Heavy alcohol consumption, Human papillomavirus (HPV) infection, Prolonged sun exposure (lip cancer), Poor oral hygiene and chronic irritation",Oncologist,"Consult a doctor immediately if mouth sores persist more than 2 weeks, Surgery (to remove tumors), Radiation therapy, Chemotherapy or targeted drug therapy, Regular dental/oral check-ups for monitoring, if swallowing becomes difficult, or if there’s unexplained pain/swelling.",,,,,,,,,,,,,,,,,,
Breast Cancer,Cancer(Breast),Non-communicable,Breast cancer is the abnormal growth of cells in breast tissue. Early detection greatly improves survival chances.,"Genetic mutations (BRCA1/BRCA2), Family history, Hormonal factors, Obesity, Alcohol use, Radiation exposure, Increasing age",Oncologist,"Consult a doctor immediately if a new breast lump or persistent changes are noticed, Surgery (lumpectomy/mastectomy), Radiation therapy, Chemotherapy, Hormonal therapy, Targeted therapy, Immunotherapy ",,,,,,,,,,,,,,,,,,
Lung Cancer,Cancer (Respiratory/Oncology),Non-communicable,"Lung cancer is uncontrolled growth of abnormal cells in lung tissue, often spreading rapidly if untreated.","Smoking (major cause), Exposure to asbestos/radon, Air pollution, Family history, Occupational hazards",Oncologist,"Consult a doctor immediately if chronic cough or coughing blood occurs, Surgery (lobectomy, pneumonectomy), Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy ",,,,,,,,,,,,,,,,,,
 Cervical Cancer,Cancer (Reproductive/Oncology),Non-communicable,"Cervical cancer occurs in the cells of the cervix, strongly linked to persistent infection with high-risk HPV.","Human papillomavirus (HPV) infection, Multiple sexual partners, Early sexual activity, Smoking, Weakened immune system",Oncologist," Consult a doctor if abnormal bleeding or pelvic pain persists, Surgery (hysterectomy, trachelectomy), Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy, Regular screening and HPV vaccination recommended",,,,,,,,,,,,,,,,,,
Chronic Liver Disease / Cirrhosis,Liver Disease (Hepatology),Non-communicable,"Cirrhosis is the late stage of chronic liver disease where normal liver tissue is replaced by scar tissue, leading to impaired liver function.","Chronic alcohol abuse, Hepatitis B or C infection, Non-alcoholic fatty liver disease (NAFLD), Obesity, Autoimmune liver disease, Genetic disorders (hemochromatosis, Wilson’s disease)",Hepatologist," Consult a doctor immediately if jaundice, confusion, or abdominal swelling worsen, Lifestyle changes (stop alcohol, healthy diet, weight management), Antiviral drugs for hepatitis, Medications for complications (diuretics,beta-blockers for variceal bleeding), Endoscopic therapy for varices, Liver transplant in advanced cases",,,,,,,,,,,,,,,,,,
Asthma,Respiratory Disease,Non-communicable,"Asthma is a long-term condition where airways become inflamed and narrow, causing breathing difficulties.","Allergens (dust, pollen, animal dander), Respiratory infections, Air pollution/smoke, Exercise, Cold air, Family history, Stress",Pulmonologist,"Consult a doctor immediately if breathing worsens, inhaler use becomes frequent, or there are severe asthma attacks, Treatments include: Quick-relief inhalers, Long-term control inhalers, Combination inhalers,Oral steroids in severe cases, Lifestyle management (avoiding triggers, regular monitoring)",,,,,,,,,,,,,,,,,,
Hepatitis-B/ HBV,Infectious Disease (Viral Hepatitis),Communicable,"Hepatitis B is a viral infection that affects the liver, leading to inflammation and potentially cirrhosis or liver cancer in chronic cases.","Transmission through infected blood, unprotected sex, sharing needles, from mother to child during childbirth",Hepatologist,"Consult a doctor immediately if persistent fatigue, jaundice, or abnormal liver tests are noticed, Treatments include: Direct-acting antivirals, Supportive care (healthy diet, avoiding alcohol), Regular liver monitoring, Liver transplant in severe end-stage disease, No vaccine available",,,,,,,,,,,,,,,,,,
Hepatitis-C / HCV,Infectious Disease (Viral Hepatitis),Communicable,"Hepatitis C is a viral infection that causes inflammation of the liver and can lead to chronic liver disease, cirrhosis, or liver cancer if untreated","Transmission through infected blood (sharing needles, transfusions before screening, unsafe medical practices), Rarely through sexual contact or mother-to-child transmission",Hepatologist,"Consult a doctor immediately if persistent fatigue, jaundice, or abnormal liver tests are noticed, Treatments include: Direct-acting antivirals, Supportive care (healthy diet, avoiding alcohol), Regular liver monitoring, Liver transplant in severe end-stage disease, No vaccine available",,,,,,,,,,,,,,,,,,
