User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Discomfort or angina, especially after exertion""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Dizziness or fainting""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Heart palpitations""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea, feeling sick""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""My chest feels tight and heavy like an weight is on it""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""I get winded just walking to the mailbox""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""My heart feels like it's racing or skipping beats""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel lightheaded and like I might pass out""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Sharp pain in my chest when I try to exercise""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""I've been feeling unusually tired and exhausted lately""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Vague discomfort in my jaw and left arm""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent squeezing sensation behind my breastbone""",Ischemic Heart Disease (Coronary Artery Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden numbness or weakness in face, arm, leg""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Trouble speaking""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Trouble in understanding""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Vision problems""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Dizziness""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of balance""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Severe headache""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""One side of my face feels droopy and numb""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""I can't seem to find the right words when I talk""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Suddenly I can't see clearly out of my left eye""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm having trouble standing up straight, I feel off-balance""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""My arm feels completely limp and weak all of a sudden""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""I have the most intense headache I've ever felt""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent mouth sores that don’t heal""",Stroke (Cerebrovascular Disease),,,,,,,,,,,,,,,,,,,,,,,,
"""Red and white patches in mouth""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Lump or thickening in cheek""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty chewing""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty in swallowing""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent sore throat""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Hoarseness""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Unexplained weight loss""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a weird bump inside my mouth that won't go away""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""It really hurts when I try to swallow my food""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My throat has been scratchy and sore for over a month""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed some strange white spots on my tongue""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My voice sounds raspy and I can't get it back to normal""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm losing weight even though I'm eating the same""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""There is a thick patch on the inside of my cheek""",Oral Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Breast lump or thickening""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Change in breast shape or size""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin dimpling""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Nipple discharge, sometimes bloody""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Breast or nipple pain""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling in armpit""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I felt a hard knot in my breast during my shower""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""The skin on my breast looks like an orange peel""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""One of my breasts looks significantly larger than the other""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I noticed some blood leaking from my nipple""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""My nipple seems to be pulling inward or flattening""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""Constant aching pain in my chest and nipple area""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a swollen area under my arm that feels tender""",Breast Cancer,,,,,,,,,,,,,,,,,,,,,,,,
